"train/global_step","./llama_results_packing - _step","./llama_results_packing - _step__MIN","./llama_results_packing - _step__MAX","./llama_results_packing - eval/loss","./llama_results_packing - eval/loss__MIN","./llama_results_packing - eval/loss__MAX"
"10900","435","435","435","1.7375036478042603","1.7375036478042603","1.7375036478042603"
"10950","437","437","437","1.7335290908813477","1.7335290908813477","1.7335290908813477"
"11000","439","439","439","1.7340651750564575","1.7340651750564575","1.7340651750564575"
"11050","441","441","441","1.7390862703323364","1.7390862703323364","1.7390862703323364"
"11100","443","443","443","1.732784628868103","1.732784628868103","1.732784628868103"
"11150","445","445","445","1.7294020652770996","1.7294020652770996","1.7294020652770996"
"11200","447","447","447","1.7241102457046509","1.7241102457046509","1.7241102457046509"
"11250","449","449","449","1.7260764837265015","1.7260764837265015","1.7260764837265015"
"11300","451","451","451","1.7244884967803955","1.7244884967803955","1.7244884967803955"
"11350","453","453","453","1.7207552194595337","1.7207552194595337","1.7207552194595337"
"11400","455","455","455","1.7248667478561401","1.7248667478561401","1.7248667478561401"
"11450","457","457","457","1.726340413093567","1.726340413093567","1.726340413093567"
"11500","459","459","459","1.7270878553390503","1.7270878553390503","1.7270878553390503"
"11550","461","461","461","1.719964623451233","1.719964623451233","1.719964623451233"
"11600","463","463","463","1.7191523313522339","1.7191523313522339","1.7191523313522339"
"11650","465","465","465","1.7343850135803223","1.7343850135803223","1.7343850135803223"
"11700","467","467","467","1.755847454071045","1.755847454071045","1.755847454071045"
"11750","469","469","469","1.7542071342468262","1.7542071342468262","1.7542071342468262"
"11800","471","471","471","1.753071904182434","1.753071904182434","1.753071904182434"
"11850","473","473","473","1.7444936037063599","1.7444936037063599","1.7444936037063599"
"11900","475","475","475","1.749889850616455","1.749889850616455","1.749889850616455"
"11950","477","477","477","1.7556265592575073","1.7556265592575073","1.7556265592575073"
"12000","479","479","479","1.7373278141021729","1.7373278141021729","1.7373278141021729"
"12050","481","481","481","1.7513742446899414","1.7513742446899414","1.7513742446899414"
"12100","483","483","483","1.7557274103164673","1.7557274103164673","1.7557274103164673"
"12150","485","485","485","1.7556792497634888","1.7556792497634888","1.7556792497634888"
