"train/global_step","./llama_gpt_results_packing - _step","./llama_gpt_results_packing - _step__MIN","./llama_gpt_results_packing - _step__MAX","./llama_gpt_results_packing - eval/loss","./llama_gpt_results_packing - eval/loss__MIN","./llama_gpt_results_packing - eval/loss__MAX"
"5700","227","227","227","1.906996488571167","1.906996488571167","1.906996488571167"
"5750","229","229","229","1.900252342224121","1.900252342224121","1.900252342224121"
"5800","231","231","231","1.8874129056930542","1.8874129056930542","1.8874129056930542"
"5850","233","233","233","1.9097273349761963","1.9097273349761963","1.9097273349761963"
"5900","235","235","235","1.9097212553024292","1.9097212553024292","1.9097212553024292"
"5950","237","237","237","1.8795578479766846","1.8795578479766846","1.8795578479766846"
"6000","239","239","239","1.8981283903121948","1.8981283903121948","1.8981283903121948"
"6050","241","241","241","1.902268648147583","1.902268648147583","1.902268648147583"
"6100","243","243","243","1.8904821872711182","1.8904821872711182","1.8904821872711182"
"6150","245","245","245","1.8927512168884277","1.8927512168884277","1.8927512168884277"
"6200","247","247","247","1.8778996467590332","1.8778996467590332","1.8778996467590332"
"6250","249","249","249","1.8884209394454956","1.8884209394454956","1.8884209394454956"
"6300","251","251","251","1.885608434677124","1.885608434677124","1.885608434677124"
"6350","253","253","253","1.927320957183838","1.927320957183838","1.927320957183838"
"6400","255","255","255","1.9740110635757446","1.9740110635757446","1.9740110635757446"
"6450","257","257","257","1.931857705116272","1.931857705116272","1.931857705116272"
"6500","259","259","259","1.952886700630188","1.952886700630188","1.952886700630188"
"6550","261","261","261","1.9523130655288696","1.9523130655288696","1.9523130655288696"
"6600","263","263","263","1.963167667388916","1.963167667388916","1.963167667388916"
"6650","265","265","265","1.9636423587799072","1.9636423587799072","1.9636423587799072"
"6700","267","267","267","1.9295092821121216","1.9295092821121216","1.9295092821121216"
"6750","269","269","269","1.9563958644866943","1.9563958644866943","1.9563958644866943"
"6800","271","271","271","1.9727458953857422","1.9727458953857422","1.9727458953857422"
"6850","273","273","273","1.9778465032577515","1.9778465032577515","1.9778465032577515"
"6900","275","275","275","1.9789432287216187","1.9789432287216187","1.9789432287216187"
"6950","277","277","277","1.972837209701538","1.972837209701538","1.972837209701538"
"7000","279","279","279","1.9618968963623047","1.9618968963623047","1.9618968963623047"
"7050","281","281","281","1.9781502485275269","1.9781502485275269","1.9781502485275269"
"7100","283","283","283","1.9711560010910034","1.9711560010910034","1.9711560010910034"
"7150","285","285","285","1.9643100500106812","1.9643100500106812","1.9643100500106812"
"7200","287","287","287","2.029818296432495","2.029818296432495","2.029818296432495"
"7250","289","289","289","2.012467622756958","2.012467622756958","2.012467622756958"
"7300","291","291","291","2.0167315006256104","2.0167315006256104","2.0167315006256104"
"7350","293","293","293","1.9836273193359375","1.9836273193359375","1.9836273193359375"
"7400","295","295","295","2.0047311782836914","2.0047311782836914","2.0047311782836914"
"7450","297","297","297","2.012523889541626","2.012523889541626","2.012523889541626"
"7500","299","299","299","2.022263765335083","2.022263765335083","2.022263765335083"
"7550","301","301","301","2.01944637298584","2.01944637298584","2.01944637298584"
"7600","303","303","303","1.9987393617630005","1.9987393617630005","1.9987393617630005"
"7650","305","305","305","2.0800304412841797","2.0800304412841797","2.0800304412841797"
"7700","307","307","307","2.041203498840332","2.041203498840332","2.041203498840332"
"7750","309","309","309","2.070760488510132","2.070760488510132","2.070760488510132"
"7800","311","311","311","2.059051752090454","2.059051752090454","2.059051752090454"
"7850","313","313","313","2.0841081142425537","2.0841081142425537","2.0841081142425537"
"7900","315","315","315","2.0767643451690674","2.0767643451690674","2.0767643451690674"
"7950","317","317","317","2.064589500427246","2.064589500427246","2.064589500427246"
"8000","319","319","319","2.0468554496765137","2.0468554496765137","2.0468554496765137"
"8050","321","321","321","2.119391679763794","2.119391679763794","2.119391679763794"
"8100","323","323","323","2.0978105068206787","2.0978105068206787","2.0978105068206787"
"8150","325","325","325","2.108062982559204","2.108062982559204","2.108062982559204"
"8200","327","327","327","2.108400821685791","2.108400821685791","2.108400821685791"
"8250","329","329","329","2.087458610534668","2.087458610534668","2.087458610534668"
"8300","331","331","331","2.075225591659546","2.075225591659546","2.075225591659546"
"8350","333","333","333","2.074965238571167","2.074965238571167","2.074965238571167"
"8400","335","335","335","2.07905650138855","2.07905650138855","2.07905650138855"
"8450","337","337","337","2.0614123344421387","2.0614123344421387","2.0614123344421387"
"8500","339","339","339","2.151179790496826","2.151179790496826","2.151179790496826"
"8550","341","341","341","2.170508861541748","2.170508861541748","2.170508861541748"
"8600","343","343","343","2.2498929500579834","2.2498929500579834","2.2498929500579834"
"8650","345","345","345","2.2076337337493896","2.2076337337493896","2.2076337337493896"
"8700","347","347","347","2.1952319145202637","2.1952319145202637","2.1952319145202637"
"8750","349","349","349","2.2222156524658203","2.2222156524658203","2.2222156524658203"
"8800","351","351","351","2.1726596355438232","2.1726596355438232","2.1726596355438232"
"8850","353","353","353","2.1528429985046387","2.1528429985046387","2.1528429985046387"
"8900","355","355","355","2.188593626022339","2.188593626022339","2.188593626022339"
"8950","357","357","357","2.2224793434143066","2.2224793434143066","2.2224793434143066"
"9000","359","359","359","2.194936990737915","2.194936990737915","2.194936990737915"
"9050","361","361","361","2.162449598312378","2.162449598312378","2.162449598312378"
"9100","363","363","363","2.207211971282959","2.207211971282959","2.207211971282959"
"9150","365","365","365","2.1777191162109375","2.1777191162109375","2.1777191162109375"
"9200","367","367","367","2.175511360168457","2.175511360168457","2.175511360168457"
"9250","369","369","369","2.1775262355804443","2.1775262355804443","2.1775262355804443"
"9300","371","371","371","2.1831488609313965","2.1831488609313965","2.1831488609313965"
"9350","373","373","373","2.375419855117798","2.375419855117798","2.375419855117798"
"9400","375","375","375","2.3424954414367676","2.3424954414367676","2.3424954414367676"
"9450","377","377","377","2.3459832668304443","2.3459832668304443","2.3459832668304443"
"9500","379","379","379","2.3059051036834717","2.3059051036834717","2.3059051036834717"
