"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"3800","151","151","151","1.3868379592895508","1.3868379592895508","1.3868379592895508"
"3850","153","153","153","1.3870640993118286","1.3870640993118286","1.3870640993118286"
"3900","155","155","155","1.3856221437454224","1.3856221437454224","1.3856221437454224"
"3950","157","157","157","1.3850922584533691","1.3850922584533691","1.3850922584533691"
"4000","159","159","159","1.386603832244873","1.386603832244873","1.386603832244873"
"4050","161","161","161","1.3852640390396118","1.3852640390396118","1.3852640390396118"
"4100","163","163","163","1.3851327896118164","1.3851327896118164","1.3851327896118164"
"4150","165","165","165","1.3846015930175781","1.3846015930175781","1.3846015930175781"
"4200","167","167","167","1.384762167930603","1.384762167930603","1.384762167930603"
"4250","169","169","169","1.3834253549575806","1.3834253549575806","1.3834253549575806"
"4300","171","171","171","1.3843610286712646","1.3843610286712646","1.3843610286712646"
"4350","173","173","173","1.3839170932769775","1.3839170932769775","1.3839170932769775"
"4400","175","175","175","1.3850657939910889","1.3850657939910889","1.3850657939910889"
"4450","177","177","177","1.3831511735916138","1.3831511735916138","1.3831511735916138"
"4500","179","179","179","1.384031891822815","1.384031891822815","1.384031891822815"
"4550","181","181","181","1.383698582649231","1.383698582649231","1.383698582649231"
"4600","183","183","183","1.3830353021621704","1.3830353021621704","1.3830353021621704"
"4650","185","185","185","1.3828157186508179","1.3828157186508179","1.3828157186508179"
"4700","187","187","187","1.3825595378875732","1.3825595378875732","1.3825595378875732"
"4750","189","189","189","1.3828656673431396","1.3828656673431396","1.3828656673431396"
"4800","191","191","191","1.3828257322311401","1.3828257322311401","1.3828257322311401"
"4850","193","193","193","1.381898283958435","1.381898283958435","1.381898283958435"
"4900","195","195","195","1.3817845582962036","1.3817845582962036","1.3817845582962036"
"4950","197","197","197","1.3822635412216187","1.3822635412216187","1.3822635412216187"
"5000","199","199","199","1.3811501264572144","1.3811501264572144","1.3811501264572144"
"5050","201","201","201","1.381424069404602","1.381424069404602","1.381424069404602"
"5100","203","203","203","1.3803375959396362","1.3803375959396362","1.3803375959396362"
"5150","205","205","205","1.3807532787322998","1.3807532787322998","1.3807532787322998"
"5200","207","207","207","1.3809534311294556","1.3809534311294556","1.3809534311294556"
"5250","209","209","209","1.3813292980194092","1.3813292980194092","1.3813292980194092"
"5300","211","211","211","1.381329894065857","1.381329894065857","1.381329894065857"
"5350","213","213","213","1.3802125453948975","1.3802125453948975","1.3802125453948975"
"5400","215","215","215","1.380839467048645","1.380839467048645","1.380839467048645"
"5450","217","217","217","1.380408763885498","1.380408763885498","1.380408763885498"
"5500","219","219","219","1.3807907104492188","1.3807907104492188","1.3807907104492188"
"5550","221","221","221","1.380105972290039","1.380105972290039","1.380105972290039"
"5600","223","223","223","1.379683256149292","1.379683256149292","1.379683256149292"
"5650","225","225","225","1.3790245056152344","1.3790245056152344","1.3790245056152344"
"5700","227","227","227","1.3796120882034302","1.3796120882034302","1.3796120882034302"
"5750","229","229","229","1.3808404207229614","1.3808404207229614","1.3808404207229614"
